# 单位: 微秒(µs)。样本 39314 条 trace。
# 前四行为全量样本的聚合值，与 -limit 无关。
# net.* = (外层等待 − 内层总时长) / 2。**不是纯线路时间**：内层总时长从 dn_first_byte 起算，
#   此前在 listener/worker 队列里的等待落在测量区间之外，于是被算进了这一列。
#   高负载下它以排队为主 —— 实测把 Envoy worker 从 384 压到 2，UDS 单程从 21µs 涨到 128µs。
#   除以 2 还隐含「去程回程对称」的假设。单条为负属正常，见源码注释。
# 注意分位数不可加：各列 p50 之和 ≠ 总时长 p50。
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
__avg__,,,,,,,,,,,,,,,,,,,,,,,,,,,236.244,1.737,2.487,7.335,1.370,200.652,187.995,0.980,1.810,0.309,8.391,3.267,0.526,0.103,211.740,25.267,1.626,0.531,3.484,0.585,0.102,8.606,0.859,0.305,2.039,7.905,,,
__p50__,,,,,,,,,,,,,,,,,,,,,,,,,,,215.080,1.130,2.100,6.630,1.040,182.150,170.670,0.940,1.530,0.210,5.530,2.580,0.470,0.090,192.340,22.192,1.240,0.470,2.080,0.500,0.100,6.661,0.660,0.270,1.900,7.391,,,
__p90__,,,,,,,,,,,,,,,,,,,,,,,,,,,282.640,2.190,2.910,10.070,1.680,247.390,233.070,1.270,2.790,0.480,13.080,3.820,0.780,0.100,258.020,31.003,2.120,0.850,5.511,0.650,0.110,12.411,0.930,0.400,2.360,10.531,,,
__p99__,,,,,,,,,,,,,,,,,,,,,,,,,,,822.290,15.400,6.500,16.860,5.660,692.690,628.570,4.560,3.470,0.740,59.680,9.240,1.210,0.320,737.010,58.574,3.810,1.170,16.291,0.840,0.150,25.632,3.700,0.640,3.020,14.371,,,
0001c31433e6cba696075b25a0228765,,,,,,,,,,,,,,,,,,,,,,,,,,,176.120,2.800,2.450,5.070,0.700,145.980,136.590,2.550,0.670,0.140,4.760,2.180,0.510,0.090,154.420,18.551,1.110,0.480,2.090,0.420,0.110,5.790,0.690,0.380,1.660,6.811,,,
00038e8a197d05bbc98d35e016de5536,,,,,,,,,,,,,,,,,,,,,,,,,,,219.870,1.610,1.290,8.900,0.970,187.880,177.350,0.910,2.470,0.320,6.300,3.350,0.250,0.080,198.980,16.121,1.050,0.500,1.610,0.431,0.090,5.250,0.550,0.260,1.581,5.830,,,
00045023252eed5aa04e1e6db8f371e5,,,,,,,,,,,,,,,,,,,,,,,,,,,272.330,0.430,1.790,6.810,0.870,246.080,238.330,0.510,1.340,0.500,4.870,2.620,0.420,0.090,255.250,34.072,3.140,1.020,6.841,0.640,0.100,15.241,0.880,0.330,2.200,6.120,,,
000a387329af45640fb8048200dc7046,,,,,,,,,,,,,,,,,,,,,,,,,,,213.600,1.840,2.380,8.220,1.470,167.250,155.560,1.000,2.500,0.270,7.340,3.710,0.640,0.080,181.360,19.272,0.940,0.230,1.860,0.490,0.100,5.801,0.481,0.270,1.620,6.061,,,
000b3ebd591f21430e861badddb752e7,,,,,,,,,,,,,,,,,,,,,,,,,,,243.830,1.960,2.260,8.150,1.340,209.960,201.120,1.120,1.190,0.070,5.750,3.250,0.740,0.090,221.320,22.772,1.460,1.081,2.180,0.660,0.100,8.081,0.810,0.220,2.390,8.301,,,
000d000e60dc678fa6c16097d4ec84f8,,,,,,,,,,,,,,,,,,,,,,,,,,,234.610,1.510,2.580,9.510,1.300,192.340,180.890,1.390,1.630,0.480,7.480,3.470,0.600,0.080,201.810,15.461,0.960,0.440,1.500,0.390,0.100,4.971,0.610,0.260,1.480,5.650,,,
001061d95e0b30f7913a3555f44f9aa4,,,,,,,,,,,,,,,,,,,,,,,,,,,155.410,0.440,1.360,3.210,0.380,143.240,140.770,0.180,0.750,0.100,1.300,0.700,0.350,0.070,146.350,23.172,2.360,0.650,2.421,0.690,0.100,8.181,0.700,0.210,2.430,5.471,,,
0011a315d8f588fe9ef87e8f681db29e,,,,,,,,,,,,,,,,,,,,,,,,,,,222.900,1.370,2.910,8.170,0.510,191.430,169.790,1.240,2.580,0.140,17.140,2.050,0.710,0.080,198.430,20.312,1.080,0.520,1.930,0.430,0.100,5.491,0.730,0.350,1.830,8.951,,,
001444c047d951e614abdb6a0870c0a0,,,,,,,,,,,,,,,,,,,,,,,,,,,365.670,1.030,2.170,6.620,1.070,331.760,315.620,1.120,1.940,0.060,12.620,3.750,0.860,0.080,342.590,33.562,2.700,0.930,5.880,0.700,0.100,12.291,0.920,0.230,2.630,11.701,,,
00148543a8c4cc2f16264860b9b128f5,,,,,,,,,,,,,,,,,,,,,,,,,,,336.440,2.090,1.400,3.720,0.830,297.630,291.580,0.680,1.420,0.220,3.320,4.850,0.270,0.090,307.160,44.333,1.940,0.540,18.221,0.670,0.100,24.651,0.940,0.240,2.400,8.571,,,
0015b6dc5e8a4b3510a6c84954fcf889,,,,,,,,,,,,,,,,,,,,,,,,,,,218.250,1.890,2.130,9.230,1.660,180.010,169.840,1.420,1.250,0.490,6.470,3.310,0.250,0.080,194.550,28.062,1.300,0.420,2.061,0.630,0.100,7.151,0.600,0.280,2.020,12.491,,,
0015e623409a8d4f67cba098d5b99f0c,,,,,,,,,,,,,,,,,,,,,,,,,,,323.800,1.660,12.430,9.950,10.910,209.830,166.900,1.070,4.360,0.110,16.990,16.200,0.810,0.160,256.770,20.981,0.970,0.530,1.930,0.660,0.110,6.480,0.600,0.220,1.970,9.001,,,
001964f3d99ba25b642cf154c455f27c,,,,,,,,,,,,,,,,,,,,,,,,,,,208.490,1.380,2.130,7.140,1.650,177.600,170.150,0.870,1.480,0.050,4.190,1.740,0.680,0.090,186.020,26.522,1.050,0.310,11.571,0.510,0.100,15.621,0.570,0.240,1.740,5.340,,,
0019e7c68f52e4807cd028a34a57d7bd,,,,,,,,,,,,,,,,,,,,,,,,,,,223.290,1.010,1.690,4.450,1.640,195.810,188.300,0.720,1.640,0.040,4.430,2.840,0.370,0.090,207.460,22.901,1.260,0.300,1.830,0.490,0.090,6.100,0.590,0.240,1.710,8.070,,,
001c42dd4d8df1218023020f2f0191c6,,,,,,,,,,,,,,,,,,,,,,,,,,,255.690,2.490,2.090,5.360,0.960,230.000,223.040,0.770,1.480,0.380,4.140,1.710,0.510,0.080,236.080,23.002,0.840,0.320,1.801,0.430,0.100,4.351,0.520,0.240,1.620,9.421,,,
001deff35d08a2b638b45b07e446dab6,,,,,,,,,,,,,,,,,,,,,,,,,,,173.740,1.540,8.590,9.480,1.740,119.610,108.380,0.830,1.560,0.190,8.080,3.370,1.010,0.400,136.850,17.522,1.321,0.440,1.800,0.500,0.100,5.561,0.580,0.290,2.270,4.881,,,
