# 单位: 微秒(µs)。样本 19495 条 trace。
# 前四行为全量样本的聚合值，与 -limit 无关。
# net.* = (外层等待 − 内层总时长) / 2。**不是纯线路时间**：内层总时长从 dn_first_byte 起算，
#   此前在 listener/worker 队列里的等待落在测量区间之外，于是被算进了这一列。
#   高负载下它以排队为主 —— 实测把 Envoy worker 从 384 压到 2，UDS 单程从 21µs 涨到 128µs。
#   除以 2 还隐含「去程回程对称」的假设。单条为负属正常，见源码注释。
# 注意分位数不可加：各列 p50 之和 ≠ 总时长 p50。
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
__avg__,,,,,,,,,,,,,,,,,,,,,,,,,,,148.070,0.248,1.921,7.523,1.265,119.488,105.732,0.886,2.521,0.055,9.662,2.749,0.514,0.088,129.180,23.347,1.421,0.422,2.788,0.527,0.102,7.606,0.823,0.281,1.943,6.948,,,
__p50__,,,,,,,,,,,,,,,,,,,,,,,,,,,147.330,0.210,1.910,7.760,1.310,119.400,106.160,1.100,2.870,0.050,11.380,3.180,0.570,0.090,128.540,23.182,1.060,0.320,2.151,0.500,0.100,6.531,0.660,0.240,1.830,7.281,,,
__p90__,,,,,,,,,,,,,,,,,,,,,,,,,,,165.900,0.230,2.390,8.890,1.820,132.970,117.900,1.200,3.050,0.080,12.250,3.720,0.640,0.100,144.590,29.312,2.120,0.640,3.121,0.620,0.110,10.490,0.820,0.390,2.360,9.310,,,
__p99__,,,,,,,,,,,,,,,,,,,,,,,,,,,191.890,0.540,2.890,9.800,3.350,162.360,145.380,1.280,3.160,0.200,27.400,8.140,0.880,0.110,172.600,38.153,2.620,0.821,12.171,0.770,0.140,18.931,3.690,0.540,2.690,10.291,,,
0000d256d9ebfe651324597880235e12,,,,,,,,,,,,,,,,,,,,,,,,,,,152.760,0.230,2.120,6.160,1.610,122.930,106.110,1.130,3.080,0.050,11.820,3.550,0.620,0.090,134.410,17.131,0.670,0.240,2.010,0.480,0.100,4.610,0.600,0.170,1.450,7.361,,,
0001faf2e579e4facb9a6dbfa7e6bdea,,,,,,,,,,,,,,,,,,,,,,,,,,,141.380,0.200,1.590,7.930,0.740,118.410,108.240,0.500,2.770,0.090,6.460,1.650,0.360,0.090,125.560,25.142,0.980,0.250,8.111,0.520,0.090,11.501,0.570,0.240,1.681,7.400,,,
000710447c6948183a16dba587a08f6c,,,,,,,,,,,,,,,,,,,,,,,,,,,161.680,0.190,2.200,8.340,1.490,129.210,114.040,1.170,1.830,0.050,11.690,3.190,0.570,0.080,141.320,32.392,1.100,0.350,8.751,0.490,0.100,12.951,0.570,0.260,1.850,9.970,,,
000744edaeec9585044c0293b8a53ed5,,,,,,,,,,,,,,,,,,,,,,,,,,,152.310,0.190,2.040,8.240,0.700,129.760,118.780,0.720,3.130,0.050,6.870,2.120,0.350,0.100,136.160,28.082,2.421,0.810,2.430,0.600,0.110,10.900,0.920,0.400,2.150,5.590,,,
00090af7bf1ba32f322ddd730bb03e91,,,,,,,,,,,,,,,,,,,,,,,,,,,157.210,0.190,2.080,6.450,1.600,124.850,107.350,1.130,3.050,0.050,12.490,3.280,0.600,0.080,137.430,24.761,2.020,0.600,2.230,0.530,0.100,8.520,0.900,0.390,2.220,5.870,,,
