# 单位: 微秒(µs)。样本 27316 条 trace。
# 前四行为全量样本的聚合值，与 -limit 无关。
# net.* = (外层等待 − 内层总时长) / 2。**不是纯线路时间**：内层总时长从 dn_first_byte 起算，
#   此前在 listener/worker 队列里的等待落在测量区间之外，于是被算进了这一列。
#   高负载下它以排队为主 —— 实测把 Envoy worker 从 384 压到 2，UDS 单程从 21µs 涨到 128µs。
#   除以 2 还隐含「去程回程对称」的假设。单条为负属正常，见源码注释。
# 注意分位数不可加：各列 p50 之和 ≠ 总时长 p50。
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
__avg__,247.244,4.138,4.637,1.402,2.878,6.710,0.522,219.378,210.000,6.598,2.371,0.410,5.636,,,,,,,,,,,,,,352.478,0.940,2.373,3.463,1.163,324.251,312.452,0.751,3.659,0.248,6.280,3.102,0.707,0.096,334.043,24.766,1.667,0.530,3.533,0.555,0.102,8.583,0.798,0.297,1.986,7.916,38.538,,
__p50__,232.700,3.440,0.720,0.750,2.430,5.470,0.410,207.280,197.500,0.470,2.100,0.340,4.770,,,,,,,,,,,,,,330.530,0.600,1.930,2.770,0.950,305.620,294.350,0.670,3.090,0.160,4.380,2.060,0.440,0.090,314.420,22.182,1.230,0.430,2.061,0.500,0.100,6.581,0.650,0.270,1.880,7.421,33.280,,
__p90__,329.440,5.780,1.130,1.290,4.340,9.240,0.720,293.850,282.940,20.740,3.280,0.580,8.130,,,,,,,,,,,,,,454.580,1.570,3.090,5.210,1.720,427.330,415.100,1.170,6.490,0.450,9.540,3.720,0.830,0.120,436.850,30.853,2.120,0.790,5.710,0.640,0.110,12.481,0.920,0.390,2.300,10.491,59.160,,
__p99__,515.800,12.850,131.240,3.350,10.480,18.100,1.890,429.630,410.650,48.730,5.430,1.150,14.170,,,,,,,,,,,,,,876.380,2.780,5.070,8.390,4.860,763.140,724.780,1.560,9.730,0.700,42.480,8.610,1.280,0.210,790.770,54.724,3.660,1.150,15.491,0.831,0.160,25.202,3.010,0.620,3.070,14.711,100.890,,
00047824a7574b2d27bf81b0b1fed680,211.620,3.130,0.630,1.070,3.340,5.240,0.310,191.540,189.140,0.310,1.740,0.350,4.670,,,,,,,,,,,,,,282.740,0.410,1.250,1.380,1.260,256.540,242.850,0.710,3.650,0.240,8.600,2.440,0.240,0.090,267.730,23.791,1.640,0.720,2.740,0.500,0.110,8.220,0.880,0.240,1.790,7.340,22.460,,
000bbe87adcb1838e6b73708ecc3dc3d,220.600,9.190,0.680,1.150,3.190,5.400,0.400,190.280,186.240,0.710,2.300,1.030,7.780,,,,,,,,,,,,,,297.310,0.190,2.140,2.010,0.770,276.230,266.760,0.510,3.450,0.390,4.590,2.170,0.770,0.090,285.780,20.152,1.150,0.730,1.860,0.400,0.090,5.771,0.690,0.270,1.790,8.651,27.815,,
000d820e1b2d7cbb9804a69184cb2f82,293.050,14.080,0.970,1.070,3.460,25.030,0.640,230.780,187.080,39.930,3.220,0.550,14.840,,,,,,,,,,,,,,403.920,0.990,1.380,1.580,0.270,387.020,382.390,0.520,1.710,0.100,1.880,0.730,0.330,0.070,390.660,19.151,1.240,0.390,2.000,0.460,0.100,5.880,0.630,0.310,1.700,6.340,46.985,,
001626b499e3b4957c60082c0313d444,155.560,2.840,0.780,0.650,2.060,4.900,0.310,138.390,136.120,0.320,1.710,0.240,4.070,,,,,,,,,,,,,,232.640,0.230,2.780,2.920,1.210,206.910,198.250,1.340,2.710,0.070,4.030,2.200,0.650,0.100,215.690,24.432,1.450,0.400,1.680,0.480,0.110,6.181,0.540,0.280,2.040,9.381,25.675,,
0019134e957650ee513e1eb448c580c7,302.890,2.870,0.500,0.480,1.720,4.650,0.310,287.380,276.920,8.700,1.580,0.180,3.630,,,,,,,,,,,,,,433.130,1.550,10.100,4.610,1.420,386.590,374.880,0.850,3.450,0.080,6.870,4.560,0.240,0.090,401.520,17.361,0.850,0.240,1.730,0.510,0.100,5.990,0.460,0.280,1.780,4.801,41.850,,
