# 单位: 微秒(µs)。样本 18007 条 trace。
# 前四行为全量样本的聚合值，与 -limit 无关。
# net.* = (外层等待 − 内层总时长) / 2。**不是纯线路时间**：内层总时长从 dn_first_byte 起算，
#   此前在 listener/worker 队列里的等待落在测量区间之外，于是被算进了这一列。
#   高负载下它以排队为主 —— 实测把 Envoy worker 从 384 压到 2，UDS 单程从 21µs 涨到 128µs。
#   除以 2 还隐含「去程回程对称」的假设。单条为负属正常，见源码注释。
# 注意分位数不可加：各列 p50 之和 ≠ 总时长 p50。
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.payload反序列化,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload编码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.取首字节(Peek),kitex-server.TTHeader解码,kitex-server.payload编码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.payload反序列化,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
__avg__,134.098,2.955,1.026,0.735,1.899,5.147,0.548,115.548,111.435,0.387,3.313,0.413,4.514,,,,,,,,,,,,,,167.936,0.243,1.356,1.937,0.489,156.184,149.781,0.239,2.502,0.095,3.368,0.971,0.301,0.087,160.076,22.487,1.307,0.386,2.663,0.529,0.100,7.090,0.716,0.285,1.917,7.097,11.031,,
__p50__,131.300,2.840,0.480,0.460,1.560,4.760,0.280,115.010,111.530,0.130,3.540,0.150,4.190,,,,,,,,,,,,,,163.160,0.210,1.260,1.790,0.400,152.350,146.390,0.200,2.390,0.080,2.760,0.720,0.280,0.090,155.890,21.262,1.020,0.300,2.030,0.500,0.100,5.910,0.620,0.240,1.790,7.410,10.060,,
__p90__,146.360,3.020,0.660,0.540,1.740,5.100,0.340,129.330,125.030,0.170,3.700,0.180,4.510,,,,,,,,,,,,,,183.470,0.240,1.500,2.060,0.620,170.290,162.370,0.220,2.550,0.100,3.550,1.260,0.350,0.100,174.780,28.452,2.090,0.620,2.950,0.630,0.110,9.341,0.780,0.380,2.360,9.371,12.165,,
__p99__,266.570,5.350,1.010,1.040,3.480,7.280,0.500,228.390,151.270,0.390,4.020,0.410,5.780,,,,,,,,,,,,,,303.650,0.380,2.440,6.240,1.860,291.490,285.190,1.160,8.980,0.320,15.760,3.550,0.680,0.110,295.440,36.832,2.290,0.680,11.441,0.721,0.130,17.741,2.760,0.500,2.630,10.361,23.970,,
00042751544ec94349e08e64c2f6b213,119.480,2.860,0.520,0.390,1.510,4.580,0.270,103.840,99.890,0.120,3.680,0.150,4.200,,,,,,,,,,,,,,150.320,0.200,1.350,1.840,0.340,139.810,134.200,0.210,2.540,0.080,2.680,0.690,0.330,0.090,142.570,16.161,0.850,0.220,1.920,0.540,0.100,5.270,0.510,0.310,1.880,4.360,10.165,,
0009e3aee16bf42e13ee1765546060ef,124.750,5.350,1.030,0.980,3.530,6.530,0.350,100.020,97.120,0.210,2.520,0.170,5.480,,,,,,,,,,,,,,163.740,0.290,2.450,2.200,0.320,150.010,144.790,0.200,2.230,0.080,2.590,1.220,0.710,0.090,153.300,16.751,1.000,0.280,1.720,0.490,0.110,5.220,0.520,0.220,1.690,4.640,12.630,,
000debb178bbc8c6b078fa4238389f3a,134.430,2.870,0.430,0.420,1.550,4.800,0.260,118.900,116.230,0.130,2.360,0.180,4.060,,,,,,,,,,,,,,164.650,0.190,1.350,1.860,0.640,154.320,149.080,0.200,2.030,0.080,2.750,0.850,0.310,0.080,157.790,28.722,2.120,0.620,2.460,0.480,0.100,8.580,0.680,0.290,1.780,8.911,9.945,,
00139f237eb99347df7b05891b46318c,117.850,2.870,0.420,0.460,1.430,5.000,0.320,101.930,97.920,0.120,3.740,0.150,4.250,,,,,,,,,,,,,,148.120,0.220,1.260,1.790,0.340,137.630,132.230,0.200,2.350,0.090,2.660,0.910,0.260,0.090,140.600,17.311,1.010,0.260,1.970,0.450,0.090,5.291,0.630,0.410,1.730,4.770,9.890,,
0013d33a042eb2b5543420825f89ac3f,119.240,2.740,0.470,0.490,1.460,4.760,0.290,103.610,100.930,0.170,2.350,0.160,4.190,,,,,,,,,,,,,,151.460,0.220,1.280,1.720,0.370,138.900,133.590,0.210,2.200,0.080,2.700,1.240,0.320,0.090,143.170,18.631,0.790,0.220,1.630,0.430,0.090,4.690,0.460,0.230,1.640,7.240,9.830,,
