# 单位: 微秒(µs)。样本 20437 条 trace。
# 前四行为全量样本的聚合值，与 -limit 无关。
# net.* = (外层等待 − 内层总时长) / 2。**不是纯线路时间**：内层总时长从 dn_first_byte 起算，
#   此前在 listener/worker 队列里的等待落在测量区间之外，于是被算进了这一列。
#   高负载下它以排队为主 —— 实测把 Envoy worker 从 384 压到 2，UDS 单程从 21µs 涨到 128µs。
#   除以 2 还隐含「去程回程对称」的假设。单条为负属正常，见源码注释。
# 注意分位数不可加：各列 p50 之和 ≠ 总时长 p50。
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
__avg__,397.909,4.531,5.524,1.107,3.061,7.054,0.546,368.017,361.257,3.891,2.415,0.459,6.254,136.935,4.737,5.826,1.386,5.362,7.819,0.789,101.818,88.824,6.733,5.684,0.577,6.807,481.787,0.700,2.117,2.720,1.052,458.665,448.947,0.505,3.066,0.169,5.259,2.305,0.514,0.096,466.634,19.258,1.360,0.430,3.171,0.530,0.098,7.505,0.726,0.295,1.938,4.086,30.414,115.530,41.275
__p50__,385.040,3.900,0.770,0.840,2.660,6.010,0.450,355.520,348.970,0.420,2.100,0.400,5.490,124.889,4.690,1.130,1.280,5.171,7.710,0.770,93.386,80.465,0.650,5.711,0.550,6.830,459.600,0.380,1.800,2.250,0.810,438.900,430.390,0.370,2.370,0.130,3.310,1.560,0.430,0.090,445.870,16.711,1.110,0.370,1.890,0.480,0.100,5.781,0.580,0.250,1.750,3.770,24.080,111.880,37.737
__p90__,521.930,6.170,1.230,1.330,4.430,9.790,0.750,485.780,477.030,15.500,3.330,0.640,8.790,189.803,5.190,1.390,1.800,7.321,8.760,0.940,146.651,130.089,24.042,7.111,0.800,7.470,620.850,1.100,3.030,4.250,1.560,597.100,587.560,1.080,4.820,0.360,7.330,3.410,0.850,0.120,605.720,24.282,1.950,0.680,4.301,0.600,0.110,10.711,0.820,0.360,2.180,6.020,47.130,158.985,63.694
__p99__,716.370,14.220,121.440,3.690,11.500,18.420,2.050,662.720,649.860,41.740,6.100,1.350,15.810,331.364,6.040,110.248,2.570,9.460,11.071,1.181,237.927,215.035,51.724,8.161,1.060,8.961,950.060,2.260,4.540,7.960,3.890,888.350,851.730,1.390,9.260,0.560,26.100,7.250,1.260,0.170,923.050,38.743,2.931,1.090,13.881,0.760,0.130,21.091,3.680,0.570,2.721,7.530,89.435,203.329,100.427
00012d643f9ebeec04e73d6ab7728856,267.000,3.040,0.800,0.750,2.220,5.450,0.620,249.010,237.460,9.720,1.590,0.240,3.880,108.478,5.031,1.190,0.860,5.160,8.321,0.920,77.285,68.905,0.600,7.290,0.490,7.381,344.170,0.200,1.800,1.930,0.330,329.430,311.190,0.580,2.390,0.050,14.860,1.070,0.640,0.080,335.500,17.421,1.240,0.180,2.360,0.570,0.090,4.911,0.690,0.200,1.530,3.950,31.215,70.266,29.932
0002ed84a198fe06b0cef2664e9e1dc4,413.130,4.440,0.820,0.870,3.020,6.350,0.490,387.280,383.250,0.550,2.930,0.550,7.550,101.777,4.260,0.990,1.110,3.660,6.561,0.750,75.455,67.985,0.680,6.010,0.780,6.531,508.800,0.960,2.680,1.590,0.970,469.900,456.230,1.020,5.950,0.240,5.420,3.190,0.890,0.090,483.750,15.071,1.160,0.280,1.871,0.460,0.100,5.261,0.590,0.260,1.680,3.080,28.385,142.751,30.192
000307179b8876c857b735bb156ca77d,418.450,3.200,0.490,0.640,1.990,4.910,0.320,400.940,398.460,0.230,1.910,0.340,4.460,149.340,4.380,1.050,1.490,5.871,6.960,0.730,119.969,113.118,0.690,5.561,0.600,6.590,455.580,0.220,1.450,1.470,1.060,438.680,434.200,0.220,2.000,0.120,1.930,1.350,0.270,0.080,446.580,20.701,0.900,0.270,5.040,0.590,0.110,9.200,0.500,0.330,1.730,3.810,10.115,125.800,49.634
00033161083eb23641e136b3e891a3ff,392.890,2.720,0.500,0.430,1.150,4.750,0.300,377.890,365.810,10.270,1.600,0.210,3.940,146.720,4.560,1.080,1.491,5.700,7.240,0.740,117.498,81.845,21.942,13.281,0.430,6.190,511.110,1.940,2.130,5.230,1.030,479.720,466.920,0.990,5.150,0.290,5.880,3.480,0.670,0.080,489.840,17.531,1.280,0.600,1.710,0.530,0.091,6.360,0.590,0.280,1.941,5.280,43.415,115.585,49.983
0003e7300c05f831f443fdfc4a3b2aa4,555.590,11.020,1.990,2.150,7.580,11.630,1.400,511.890,508.250,0.340,2.660,0.640,5.570,218.985,4.130,77.735,1.170,4.091,7.510,0.990,113.878,106.668,0.780,5.690,0.740,6.521,651.590,0.960,2.270,5.790,1.260,617.270,595.560,1.120,6.660,0.310,13.210,3.290,0.620,0.090,628.400,12.570,0.860,0.260,1.400,0.410,0.110,5.000,0.460,0.260,1.480,2.710,30.840,146.452,50.654
000c16d624fb8f992ecbeb2784414a99,1089.120,2.900,0.630,0.620,1.960,5.200,0.310,1072.080,1070.010,0.290,1.540,0.240,4.040,837.389,4.870,1.220,1.290,4.621,8.420,0.750,804.037,742.473,55.524,5.130,0.910,9.051,1159.460,0.980,2.120,3.270,0.800,1136.290,1126.870,1.070,3.350,0.130,4.350,2.840,0.710,0.090,1145.620,32.013,6.631,0.510,3.720,0.520,0.190,13.411,0.660,0.580,2.030,3.141,23.585,117.346,386.012
000ca31a87a993a924d8b98ea2d40a11,371.990,4.660,0.880,0.640,2.500,7.780,0.610,344.810,340.020,0.420,3.720,0.650,8.150,96.147,4.920,1.360,1.150,4.991,11.601,1.130,60.854,52.843,0.770,6.751,0.490,7.621,467.280,0.340,1.430,1.610,0.380,452.460,447.280,0.200,1.870,0.140,2.850,1.080,0.300,0.090,455.610,15.521,0.620,0.180,1.730,0.470,0.100,4.860,0.510,0.211,1.490,5.610,40.235,124.332,22.666
000fe63ed68c3b26843645a11a39e74b,403.210,2.820,0.760,0.380,1.250,4.590,0.310,387.770,369.910,16.000,1.630,0.230,4.090,120.258,4.060,1.060,0.860,2.810,6.561,0.610,96.447,91.106,0.710,4.261,0.370,6.020,468.260,0.680,2.330,1.990,0.630,445.170,433.800,0.770,5.930,0.210,3.940,2.050,0.720,0.080,454.060,19.092,1.510,0.610,3.801,0.480,0.100,8.641,0.690,0.360,1.840,3.520,20.980,133.756,38.678
001006526853e9093b029dfc8ca714db,246.970,4.090,0.720,0.850,2.760,5.950,0.390,224.400,221.510,0.290,2.160,0.440,6.180,80.176,5.230,1.090,1.521,5.560,7.821,0.730,49.053,42.453,0.480,5.630,0.490,6.871,331.930,0.930,1.900,2.490,0.540,303.040,291.530,0.540,4.130,0.120,6.410,1.980,0.520,0.080,313.610,16.161,1.150,0.410,1.580,0.440,0.090,4.941,0.570,0.360,1.690,4.600,28.035,72.112,16.446
0010f55229c5958da3612a0e736bb9cc,217.950,3.120,0.550,0.540,2.260,4.960,0.360,200.410,198.100,0.220,1.890,0.200,4.300,77.335,4.890,1.090,1.340,5.181,8.100,0.750,46.414,39.793,0.390,5.581,0.650,7.200,278.400,0.800,1.440,4.140,0.580,252.040,237.490,1.220,4.290,0.360,8.080,2.070,0.290,0.090,259.630,16.901,1.220,0.570,2.080,0.490,0.090,5.800,0.740,0.350,1.961,5.070,17.045,61.538,14.757
0011d157a2521b9a098fcb62d210c230,422.030,15.270,1.920,1.950,7.920,23.610,2.040,358.780,353.270,0.370,4.360,0.780,7.450,123.679,5.361,1.520,1.740,7.660,7.981,0.870,88.296,79.216,0.950,7.430,0.700,7.351,2685.800,1.850,1410.810,10.440,2.620,494.530,475.280,1.130,6.620,0.080,10.650,4.160,1.510,0.300,507.550,16.052,1.791,0.590,1.730,0.450,0.100,5.870,0.710,0.280,1.820,3.911,36.250,117.550,36.122
0014b7fdc793585510f3c87965b8d5e6,501.800,5.180,7.550,1.410,3.840,9.970,0.650,466.660,464.110,0.320,1.760,0.470,4.780,271.999,4.330,96.367,1.790,6.931,7.880,0.890,144.791,136.570,0.690,6.800,0.731,6.350,573.500,0.230,1.660,2.510,0.600,556.850,547.920,0.830,2.230,0.170,5.300,1.840,0.290,0.080,563.750,15.931,0.880,0.210,1.730,0.470,0.110,5.690,0.480,0.220,1.571,2.580,27.525,97.331,64.430
0016c7df3acd3f0be8b9cad457eea1cb,232.220,3.380,0.580,0.660,1.920,5.260,0.400,210.390,206.500,0.620,2.730,0.540,7.560,77.596,4.611,1.060,1.210,4.550,7.691,0.710,48.823,42.343,0.340,5.790,0.350,6.741,287.190,0.350,1.800,2.190,0.330,270.530,265.230,0.210,1.440,0.100,3.190,0.850,0.430,0.090,275.510,16.942,1.131,0.300,1.750,0.460,0.090,5.370,0.510,0.200,1.800,4.201,19.155,66.397,15.941
0017a990f15f716f49f964b8d6412c7f,401.200,2.860,0.510,0.540,1.560,4.610,0.380,385.310,383.090,0.280,1.680,0.260,4.130,127.189,4.870,1.100,2.000,7.361,7.901,0.730,94.206,85.466,0.600,7.430,0.710,6.311,461.000,0.250,1.630,1.610,0.480,440.830,431.000,0.530,3.380,0.400,5.000,1.320,0.340,0.090,449.730,21.651,1.000,0.300,9.301,0.480,0.100,12.421,0.530,0.190,1.640,3.580,19.815,129.060,36.278
001a23b75cf52d93b82a3c2cba8e81f7,479.810,3.190,0.560,0.700,2.220,5.150,0.370,461.920,459.830,0.220,1.690,0.180,4.270,235.116,5.560,1.450,1.860,11.341,18.501,1.530,184.223,177.293,1.100,4.880,0.950,7.261,518.210,0.550,2.840,2.850,0.880,501.080,495.460,0.150,2.120,0.190,3.040,0.980,0.480,0.460,505.200,19.101,1.480,0.290,1.890,0.490,0.090,5.741,0.520,0.290,1.690,2.230,10.635,113.402,82.561
001a3472af94a75e8c4c0182f56f56a7,394.330,3.030,78.000,1.250,2.430,6.120,0.510,295.400,292.130,0.590,2.130,0.550,5.880,113.128,4.060,1.130,0.640,2.830,6.811,0.680,88.566,82.926,0.600,4.620,0.420,6.421,462.360,0.220,1.450,2.910,1.820,433.140,422.350,0.490,3.550,0.490,5.890,8.030,0.480,0.080,448.390,16.051,1.210,0.370,1.780,0.480,0.090,5.501,0.560,0.270,1.950,2.960,19.405,91.136,36.258
00205c5ce4544bba8e184c5a8dc7b0ed,362.370,3.210,0.680,0.830,2.820,5.430,0.390,342.520,339.320,0.290,2.490,0.420,4.790,153.351,4.740,1.220,1.100,6.451,7.360,0.920,123.159,116.459,1.180,4.720,0.800,6.221,431.020,1.270,2.120,6.570,0.910,399.980,390.570,0.790,2.940,0.240,4.910,3.420,0.620,0.080,410.040,14.351,0.770,0.180,1.791,0.520,0.090,6.141,0.440,0.180,1.510,2.410,18.805,94.585,54.404
0023055784d0c066c24eb15e59b0a8fd,480.830,13.450,0.890,0.920,3.100,8.970,0.460,442.540,437.980,0.430,3.520,0.610,8.550,129.699,4.540,0.940,1.010,4.171,6.840,0.660,102.937,74.775,21.862,5.930,0.370,6.441,635.740,1.900,2.120,4.610,1.570,600.910,589.260,0.880,2.350,0.080,7.820,3.210,0.550,0.090,610.790,21.761,1.250,0.710,2.270,0.500,0.090,7.260,0.840,0.290,1.950,7.530,60.040,156.421,40.588
