# 单位: 微秒(µs)。样本 12783 条 trace。
# 前四行为全量样本的聚合值，与 -limit 无关。
# net.* = (外层等待 − 内层总时长) / 2。**不是纯线路时间**：内层总时长从 dn_first_byte 起算，
#   此前在 listener/worker 队列里的等待落在测量区间之外，于是被算进了这一列。
#   高负载下它以排队为主 —— 实测把 Envoy worker 从 384 压到 2，UDS 单程从 21µs 涨到 128µs。
#   除以 2 还隐含「去程回程对称」的假设。单条为负属正常，见源码注释。
# 注意分位数不可加：各列 p50 之和 ≠ 总时长 p50。
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
trace_id,envoy-out.总时长,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-in.总时长,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
__avg__,204.353,2.995,1.101,0.832,1.879,5.239,0.495,185.499,181.503,0.316,3.350,0.340,4.598,88.301,4.704,1.600,1.265,3.827,8.010,0.942,58.129,50.561,0.507,6.495,0.566,7.311,237.435,0.219,1.346,1.896,0.469,225.898,219.777,0.214,2.467,0.070,3.195,0.864,0.320,0.087,229.766,18.656,1.026,0.312,2.237,0.486,0.098,5.958,0.636,0.247,1.725,5.741,10.801,48.596,19.703
__p50__,197.040,2.880,0.490,0.470,1.580,4.760,0.290,181.050,177.360,0.130,3.540,0.150,4.240,83.116,4.661,0.910,0.860,3.540,7.550,0.710,55.504,48.444,0.310,6.320,0.360,6.980,228.250,0.210,1.270,1.800,0.400,217.730,211.820,0.190,2.450,0.070,2.750,0.710,0.300,0.090,221.180,17.701,0.950,0.280,1.680,0.470,0.100,5.141,0.520,0.220,1.650,5.691,10.080,49.438,18.811
__p90__,211.370,3.060,0.670,0.560,1.750,5.090,0.340,194.090,190.290,0.170,3.680,0.190,4.560,93.807,4.940,1.000,0.970,3.980,7.950,0.771,64.745,57.414,0.340,6.741,0.400,7.271,246.450,0.240,1.450,2.050,0.570,233.870,226.980,0.210,2.610,0.080,3.130,1.050,0.370,0.090,238.110,23.451,1.190,0.390,2.480,0.540,0.110,8.340,0.641,0.300,2.030,6.640,11.675,51.212,21.326
__p99__,477.640,5.310,0.970,0.990,3.350,7.290,0.460,352.850,334.690,0.360,4.320,0.350,5.810,231.506,5.180,1.120,1.100,5.230,10.331,0.870,87.516,68.205,0.400,8.381,0.450,8.200,512.060,0.370,2.400,4.840,1.770,500.530,494.840,1.050,5.730,0.170,15.480,3.190,0.680,0.120,504.410,29.132,1.900,0.630,9.530,0.670,0.120,14.331,2.200,0.480,2.441,7.110,22.725,109.597,29.062
0001ddfae4700db9a8a0303fb1e8a610,193.260,2.940,0.720,0.480,1.610,4.740,0.300,177.070,173.190,0.120,3.620,0.140,4.170,80.226,4.490,0.830,0.800,3.481,7.300,0.730,53.864,47.084,0.250,6.170,0.360,6.680,225.330,0.220,1.310,1.800,0.410,212.930,207.380,0.220,2.370,0.070,2.790,1.010,0.300,0.090,215.860,17.281,0.880,0.280,1.630,0.530,0.100,4.930,0.500,0.230,1.660,5.590,9.835,48.422,18.291
0006cba97ef85c8e452ca12d61400ebc,195.390,2.890,0.480,0.430,1.560,4.790,0.290,179.560,177.020,0.150,2.240,0.150,4.240,81.186,4.660,0.870,0.890,3.571,7.490,0.690,53.814,46.614,0.280,6.590,0.330,7.111,225.510,0.220,1.510,1.840,0.360,215.300,209.850,0.190,2.250,0.070,2.770,0.990,0.320,0.090,218.160,15.211,0.780,0.220,1.570,0.480,0.100,4.121,0.470,0.210,1.690,5.580,9.955,49.187,19.302
00071348dacc9a6fab289b521d1033cc,190.980,2.770,0.520,0.460,1.540,4.820,0.290,175.180,172.570,0.110,2.330,0.170,4.210,81.786,4.460,0.930,0.861,3.400,7.280,0.700,55.434,48.524,0.300,6.290,0.320,6.841,220.220,0.190,1.290,1.760,0.360,210.790,205.660,0.200,2.110,0.050,2.640,0.850,0.340,0.090,213.750,18.531,1.030,0.320,1.740,0.480,0.090,5.261,0.491,0.190,1.680,6.770,9.905,46.697,18.451
0007c5bb9409c50dfdded4f95ff984b1,198.140,2.730,0.410,0.530,1.590,4.640,0.280,182.570,178.780,0.140,3.510,0.140,4.160,81.396,4.511,0.830,0.890,3.790,7.771,0.660,54.234,47.363,0.320,6.251,0.300,6.800,227.600,0.230,1.310,1.800,0.420,218.450,212.840,0.190,2.500,0.070,2.750,0.690,0.370,0.090,221.090,17.231,0.780,0.250,1.470,0.470,0.100,4.780,0.520,0.200,1.530,6.611,10.155,50.587,18.502
000d8903eeb9d76280d52211fa9746cd,196.770,2.750,0.400,0.480,2.750,4.770,0.250,180.040,177.370,0.130,2.390,0.150,4.150,91.297,4.621,0.910,0.790,5.230,13.831,0.720,56.154,48.844,0.340,6.610,0.360,7.031,227.290,0.220,1.220,1.630,0.450,217.210,211.490,0.190,2.190,0.050,3.130,0.650,0.320,0.090,220.780,18.521,1.030,0.290,1.760,0.470,0.100,5.350,0.530,0.200,1.630,6.760,10.220,44.371,18.817
