# 单位: 微秒(µs)。样本 1000 条 trace。
# 前四行为全量样本的聚合值，与 -limit 无关。
# net.* = (外层等待 − 内层总时长) / 2。**不是纯线路时间**：内层总时长从该节点最早的点起算
#   （Envoy 侧 2026-08-10 起是 dn_epoll_wake，此前是 dn_first_byte），
#   更早的 listener/worker 队列等待落在测量区间之外，于是被算进了这一列。
#   高负载下它以排队为主 —— 实测把 Envoy worker 从 384 压到 2，UDS 单程从 21µs 涨到 128µs。
#   除以 2 还隐含「去程回程对称」的假设。单条为负属正常，见源码注释。
# 注意分位数不可加：各列 p50 之和 ≠ 总时长 p50。
trace_id,envoy-out.总时长,envoy-out.⓪ 下游收包(到dn_first_byte),envoy-out.下游事件循环排队,envoy-out.下游readv系统调用,envoy-out.下游buffer+filter派发,envoy-out.TTHeader解析,envoy-out.协议层解头,envoy-out.路由匹配,envoy-out.取上游连接,envoy-out.编码,envoy-out.写socket,envoy-out.等待上游,envoy-out.纯等待(到epoll就绪),envoy-out.事件循环排队,envoy-out.readv系统调用,envoy-out.buffer+filter派发,envoy-out.响应解码,envoy-out.⑦→⑧ 下游回写,envoy-out.响应编码,envoy-out.写socket(下游),envoy-in.总时长,envoy-in.⓪ 下游收包(到dn_first_byte),envoy-in.下游事件循环排队,envoy-in.下游readv系统调用,envoy-in.下游buffer+filter派发,envoy-in.TTHeader解析,envoy-in.协议层解头,envoy-in.路由匹配,envoy-in.取上游连接,envoy-in.编码,envoy-in.写socket,envoy-in.等待上游,envoy-in.纯等待(到epoll就绪),envoy-in.事件循环排队,envoy-in.readv系统调用,envoy-in.buffer+filter派发,envoy-in.响应解码,envoy-in.⑦→⑧ 下游回写,envoy-in.响应编码,envoy-in.写socket(下游),kitex-client.总时长,kitex-client.取连接,kitex-client.编码(发送前),kitex-client.写socket,kitex-client.等待响应体,kitex-client.等待对端(纯网络),kitex-client.纯等待(到epoll就绪),kitex-client.poller事件排队,kitex-client.readv系统调用,kitex-client.LinkBuffer入队,kitex-client.goroutine调度延迟,kitex-client.TTHeader解码,kitex-client.payload解码,kitex-client.TTHeader编码,kitex-client.读取+解码(整段),kitex-server.总时长,kitex-server.epoll唤醒→开始读,kitex-server.等待对端(纯网络),kitex-server.TTHeader解码,kitex-server.payload解码,kitex-server.TTHeader编码,kitex-server.读取+解码(整段),kitex-server.等待请求体,kitex-server.业务handler,kitex-server.编码(发送前),kitex-server.写socket,net.client↔envoy-out单程(UDS),net.envoy-out↔envoy-in单程(跨机),net.envoy-in↔server单程(UDS)
__avg__,230.671,2.442,0.134,2.205,0.103,3.064,1.431,0.468,1.681,5.849,0.268,208.658,206.146,0.144,2.201,0.167,5.339,0.907,0.687,0.220,97.737,4.186,0.434,3.477,0.275,5.063,2.187,0.990,3.428,8.982,0.765,61.103,53.886,0.329,6.472,0.415,8.487,1.750,1.140,0.610,263.858,1.772,2.524,1.879,0.502,249.942,244.291,0.206,2.129,0.113,2.944,0.760,0.355,0.084,253.468,19.195,1.146,0.319,2.453,0.581,0.099,6.498,0.830,0.259,1.894,5.803,9.636,55.461,20.954
__p50__,195.140,2.350,0.120,2.140,0.100,2.960,0.480,0.450,1.610,4.810,0.260,176.640,174.040,0.140,2.320,0.160,4.330,0.870,0.670,0.200,89.946,3.860,0.410,3.180,0.261,4.790,1.041,0.940,3.260,7.550,0.730,58.204,50.904,0.320,6.490,0.400,7.180,1.670,1.090,0.590,223.430,0.230,1.300,1.800,0.400,212.980,207.610,0.200,2.060,0.110,2.670,0.650,0.320,0.080,216.480,18.292,1.080,0.310,1.710,0.500,0.100,5.510,0.550,0.250,1.780,5.930,8.780,43.207,19.991
__p90__,360.550,2.450,0.140,2.230,0.110,3.130,0.540,0.510,1.760,5.060,0.300,338.210,335.560,0.170,2.400,0.200,4.540,0.930,0.710,0.240,97.877,4.481,0.450,3.701,0.290,5.130,1.180,1.080,3.631,8.090,0.790,64.684,57.164,0.350,6.791,0.430,7.400,1.790,1.160,0.640,390.320,0.270,1.470,2.090,0.590,379.440,373.360,0.210,2.190,0.140,2.920,0.860,0.390,0.090,383.390,22.942,1.120,0.340,3.081,0.550,0.110,9.131,0.620,0.270,1.890,6.410,9.475,121.481,20.882
__p99__,485.380,3.950,0.180,3.710,0.170,4.760,2.170,0.720,3.090,11.060,0.400,442.350,439.560,0.220,3.290,0.260,13.870,1.370,0.940,0.320,239.246,7.161,0.540,6.460,0.380,10.441,4.620,1.790,5.471,18.901,1.410,188.253,179.212,0.500,8.891,0.540,20.641,4.430,3.150,1.120,551.650,0.490,3.910,3.200,2.540,503.620,498.370,0.280,4.270,0.200,15.830,2.900,0.830,0.110,506.410,32.602,1.590,0.460,11.601,1.290,0.120,20.341,8.641,0.430,3.971,6.981,20.525,136.567,50.998
0019d0c0dbeec6056bd16ae64bad1d93,197.410,2.240,0.140,2.010,0.090,3.010,0.460,0.390,1.620,4.710,0.270,179.270,176.620,0.120,2.380,0.150,4.300,0.820,0.640,0.180,93.207,3.861,0.430,3.151,0.280,4.670,1.050,0.930,3.110,7.571,0.790,61.644,51.113,0.310,9.801,0.420,7.211,1.830,1.180,0.650,224.720,0.240,1.320,1.710,0.340,214.810,209.530,0.200,2.070,0.100,2.720,0.610,0.330,0.090,218.340,17.461,1.030,0.350,1.690,0.500,0.100,4.990,0.550,0.240,1.881,6.610,8.700,43.032,22.091
002c446cde2bb0c7550af6147f7c60f0,202.800,2.280,0.120,2.070,0.090,2.950,0.470,0.470,1.590,4.990,0.270,184.300,181.590,0.150,2.410,0.150,4.250,0.870,0.650,0.220,90.816,3.920,0.420,3.250,0.250,4.900,1.110,0.900,3.291,7.600,0.760,58.774,51.784,0.310,6.310,0.370,7.351,1.670,1.110,0.560,230.700,0.230,1.290,1.630,0.460,220.520,215.210,0.200,2.150,0.090,2.700,0.590,0.300,0.080,224.310,18.472,1.100,0.340,1.611,0.510,0.110,5.511,0.560,0.220,1.830,5.841,8.860,46.742,20.151
003a418d49389bb90a3b991a97afed99,194.080,2.240,0.110,2.030,0.100,2.970,0.460,0.450,1.600,4.720,0.230,175.970,173.380,0.150,2.290,0.150,4.260,0.830,0.640,0.190,89.946,3.840,0.410,3.160,0.270,4.750,1.030,0.890,3.161,7.510,0.720,58.804,51.384,0.320,6.680,0.420,7.001,1.680,1.060,0.620,221.230,0.240,1.250,1.700,0.400,211.250,206.090,0.200,2.110,0.100,2.590,0.570,0.290,0.080,214.930,19.162,1.080,0.320,1.921,0.490,0.100,5.761,0.510,0.250,1.720,6.091,8.585,43.012,19.821
00655e6fa955a5352448eef019f4417c,451.630,2.350,0.110,2.150,0.090,3.020,0.490,0.440,1.660,4.680,0.290,432.390,430.000,0.180,2.000,0.210,5.000,1.000,0.690,0.310,231.486,3.900,0.420,3.230,0.250,4.690,1.000,0.951,3.180,7.470,0.710,199.494,192.104,0.330,6.580,0.480,7.741,1.780,1.200,0.580,480.410,0.250,1.260,1.780,0.330,470.280,465.160,0.190,1.950,0.100,2.700,0.700,0.310,0.070,473.860,24.802,1.050,0.310,7.770,0.510,0.090,11.721,0.550,0.260,1.750,6.101,9.325,100.452,87.346
006b119d383201ed3a02d1a5a9046241,191.550,2.260,0.110,2.050,0.100,3.040,0.480,0.470,1.670,5.050,0.300,172.560,170.490,0.170,1.710,0.190,4.490,0.910,0.680,0.230,89.817,3.741,0.390,3.091,0.260,4.860,1.000,1.040,3.230,7.561,0.740,58.174,50.734,0.310,6.740,0.390,7.301,1.690,1.080,0.610,221.700,0.230,1.470,1.900,0.570,209.660,204.040,0.200,2.340,0.110,2.840,0.860,0.400,0.100,213.830,18.401,1.050,0.320,1.640,0.470,0.100,5.620,0.540,0.250,1.790,5.790,9.055,41.371,19.887
00e9e69d29d8e3b2bca79be64e3876c4,195.930,2.370,0.130,2.150,0.090,2.930,0.480,0.460,1.660,4.730,0.270,177.500,174.720,0.270,2.370,0.140,4.360,0.830,0.610,0.220,90.597,3.950,0.390,3.300,0.260,4.891,1.110,1.010,3.400,7.391,0.680,58.854,50.983,0.320,7.131,0.420,7.100,1.700,1.100,0.600,223.030,0.200,1.240,1.660,0.450,214.310,209.210,0.200,2.030,0.090,2.650,0.670,0.310,0.080,216.870,17.501,1.090,0.290,1.660,0.540,0.100,4.990,0.530,0.230,1.790,6.701,9.190,43.452,20.677
014747318883f049b8d42e3ff13e9ef9,195.930,2.240,0.110,2.050,0.080,2.970,0.450,0.550,1.420,5.730,0.250,176.790,174.040,0.160,2.410,0.180,4.320,0.880,0.670,0.210,90.257,3.870,0.380,3.210,0.280,4.751,1.010,0.830,3.310,7.571,0.690,58.954,51.823,0.340,6.411,0.380,7.140,1.631,1.081,0.550,225.820,0.210,1.240,1.790,0.390,214.510,209.090,0.210,2.100,0.130,2.820,0.610,0.300,0.080,217.520,18.681,1.070,0.310,1.620,0.600,0.090,5.530,0.550,0.260,1.920,6.130,9.290,43.267,20.137
02aa267db3a3c4de28909273e85b61fa,327.730,2.290,0.110,2.090,0.090,3.060,0.460,0.460,5.320,4.990,0.280,305.330,303.290,0.160,1.740,0.140,4.320,0.880,0.680,0.200,90.857,3.801,0.380,3.151,0.270,4.730,0.970,0.890,5.221,7.690,0.790,57.714,50.504,0.310,6.470,0.430,6.961,1.580,1.010,0.570,488.430,0.290,1.700,2.200,0.790,474.260,468.400,0.260,2.210,0.180,3.040,1.000,0.490,0.120,479.360,18.271,1.100,0.310,1.540,0.460,0.100,5.451,0.500,0.250,1.710,5.910,73.265,107.237,19.721
02ba19fe3462887fe3f9c36cd973f600,463.150,2.210,0.140,1.970,0.100,2.870,0.450,0.430,1.620,120.840,0.360,328.670,325.950,0.140,2.420,0.160,4.430,0.940,0.700,0.240,239.246,3.870,0.410,3.200,0.260,4.700,1.040,0.930,3.181,156.341,0.830,58.704,51.233,0.330,6.731,0.410,7.380,1.780,1.130,0.650,491.460,0.220,1.260,1.920,0.400,481.270,476.210,0.200,2.040,0.090,2.620,0.680,0.310,0.080,484.990,18.531,1.030,0.320,1.600,0.500,0.090,5.600,0.500,0.230,1.780,5.891,9.060,44.712,20.087
030dc75ccc28c335b1d7205bd0ce4e99,190.630,2.330,0.110,2.130,0.090,3.110,0.480,0.430,1.590,4.760,0.330,171.710,169.780,0.110,1.660,0.160,4.680,0.880,0.660,0.220,91.367,3.880,0.440,3.180,0.260,4.771,1.030,0.900,3.310,7.631,0.720,59.494,52.363,0.280,6.451,0.400,7.330,1.761,1.101,0.660,220.580,0.280,1.460,2.080,0.400,208.310,203.250,0.200,1.920,0.110,2.730,0.710,0.400,0.080,212.060,19.081,1.130,0.320,1.700,0.520,0.110,5.740,0.540,0.240,1.820,6.010,8.840,40.172,20.206
038666015cef753826e69c4fb6c23c8d,184.770,2.350,0.090,2.170,0.090,3.050,0.450,0.470,1.620,4.730,0.230,166.640,164.700,0.110,1.690,0.140,4.090,0.820,0.630,0.190,87.407,3.821,0.410,3.141,0.270,4.720,1.070,0.830,3.160,7.391,0.720,56.294,49.203,0.310,6.391,0.390,7.250,1.601,1.051,0.550,212.700,0.250,1.240,1.760,0.450,203.150,196.640,1.450,2.000,0.150,2.770,0.710,0.270,0.120,205.970,16.961,1.080,0.330,1.780,0.490,0.090,5.000,0.650,0.240,1.800,5.930,9.190,39.617,19.666
03b314a7d8a0d542d19067e2ad3c31e6,192.340,2.330,0.120,2.110,0.100,2.980,0.500,0.470,1.680,4.950,0.250,173.780,171.140,0.120,2.320,0.200,4.240,0.830,0.630,0.200,87.696,3.970,0.410,3.260,0.300,4.891,1.070,0.910,3.320,7.521,0.730,55.954,48.843,0.310,6.411,0.390,7.150,1.660,1.100,0.560,220.570,0.220,1.210,1.900,0.360,209.990,204.810,0.200,2.120,0.110,2.620,0.690,0.290,0.070,212.900,17.011,1.080,0.310,1.870,0.480,0.090,5.130,0.490,0.230,1.740,6.001,8.825,43.042,19.471
03cbae7d15ce33c577fde8ae40a756a1,194.910,2.370,0.120,2.160,0.090,2.900,0.430,0.370,1.650,4.850,0.230,176.740,174.040,0.140,2.380,0.180,4.240,0.820,0.640,0.180,90.466,3.970,0.410,3.290,0.270,4.740,1.050,1.060,3.271,7.610,0.700,58.644,51.494,0.310,6.440,0.400,7.231,1.660,1.070,0.590,223.220,0.220,1.360,1.860,0.380,212.410,207.320,0.200,2.020,0.120,2.640,0.610,0.330,0.090,215.140,18.672,1.070,0.310,1.650,0.520,0.110,5.621,0.540,0.240,1.800,5.791,8.750,43.137,19.986
043b8989e668ca610dd910894b565da2,190.300,2.330,0.120,2.110,0.100,3.000,0.470,0.400,1.570,4.830,0.250,171.860,169.930,0.110,1.690,0.130,4.370,0.880,0.680,0.200,90.946,4.040,0.370,3.370,0.300,4.830,0.950,0.940,3.351,7.570,0.760,59.164,51.784,0.320,6.690,0.370,7.141,1.680,1.110,0.570,220.860,0.260,1.420,1.740,0.430,209.800,204.540,0.190,2.010,0.110,2.820,0.690,0.340,0.090,213.910,19.032,1.080,0.310,1.630,0.480,0.120,5.671,0.540,0.240,1.780,6.061,9.750,40.457,20.066
046a86270a948f3b49a8d0364e78492b,189.890,2.370,0.140,2.130,0.100,2.920,0.470,0.450,1.590,4.730,0.240,171.540,169.480,0.160,1.660,0.240,4.380,0.870,0.660,0.210,91.837,3.911,0.440,3.221,0.250,4.790,1.040,0.810,3.220,7.591,0.750,60.404,53.474,0.300,6.210,0.420,7.071,1.670,1.100,0.570,216.790,0.230,1.250,1.860,0.370,206.800,201.970,0.200,1.780,0.110,2.610,0.650,0.270,0.090,210.130,24.532,1.080,0.320,1.640,0.490,0.090,5.740,0.550,0.220,1.730,12.091,8.455,39.852,17.936
04984a136d42643f82124465c9d31368,360.960,2.330,0.130,2.100,0.100,2.980,0.500,0.480,1.670,4.870,0.270,342.390,339.840,0.160,2.260,0.130,4.260,0.870,0.690,0.180,76.265,6.301,0.440,5.591,0.270,5.140,1.090,1.110,3.610,8.101,0.790,40.323,35.242,0.300,4.351,0.430,7.420,1.800,1.190,0.610,389.440,0.240,1.460,1.800,0.660,378.100,372.750,0.210,2.180,0.120,2.680,0.630,0.410,0.090,382.260,14.261,1.110,0.320,1.681,0.510,0.090,5.071,0.580,0.260,1.760,2.870,8.570,133.062,13.031
04c1a85664be7a999a5a2ca187823b71,191.610,2.330,0.130,2.110,0.090,2.970,0.490,0.430,1.610,4.670,0.250,173.480,170.900,0.130,2.300,0.150,4.200,0.860,0.660,0.200,87.716,4.020,0.420,3.320,0.280,4.741,1.250,0.890,3.170,7.390,0.681,56.234,49.153,0.330,6.340,0.411,7.230,1.630,1.050,0.580,219.140,0.210,1.310,1.880,0.370,208.790,203.840,0.210,1.980,0.100,2.530,0.620,0.320,0.090,212.720,16.691,1.050,0.320,1.630,0.530,0.090,5.040,0.560,0.260,1.750,5.611,8.590,42.882,19.771
05d76dde5e3aba772d01f781cf6c3f82,194.750,2.350,0.120,2.120,0.110,3.000,0.490,0.560,1.870,5.060,0.300,175.480,172.860,0.130,2.340,0.150,4.450,0.870,0.620,0.250,87.897,3.831,0.440,3.121,0.270,4.880,1.030,1.130,3.270,7.711,0.740,55.974,48.853,0.310,6.421,0.390,7.130,1.661,1.081,0.580,225.640,0.210,1.250,1.810,0.350,215.700,209.880,0.200,2.140,0.120,3.210,0.590,0.330,0.080,219.380,16.621,1.090,0.290,1.610,0.490,0.100,4.860,0.530,0.230,1.750,5.910,10.475,43.791,19.677
064d0051bebd596a08b6b758d8255d4b,365.080,2.300,0.110,2.090,0.100,2.960,0.510,0.460,1.730,4.850,0.250,346.500,343.770,0.160,2.340,0.230,4.360,0.850,0.660,0.190,79.485,6.360,0.440,5.680,0.240,5.241,1.120,1.100,3.640,8.021,0.840,43.383,38.502,0.310,4.141,0.430,7.430,1.800,1.160,0.640,391.250,0.240,1.360,1.950,0.390,381.830,376.710,0.200,2.100,0.110,2.600,0.640,0.380,0.070,384.330,16.671,1.110,0.310,2.110,0.520,0.100,6.151,0.620,0.280,1.820,3.090,8.375,133.507,13.356
06b429d7558b10431306e6fe7e1fd667,197.210,2.260,0.100,2.070,0.090,2.910,0.470,0.440,1.640,4.700,0.210,179.140,176.540,0.120,2.330,0.150,4.200,0.890,0.680,0.210,92.476,3.820,0.430,3.100,0.290,4.730,1.090,0.980,3.241,9.460,0.760,58.944,51.594,0.330,6.600,0.420,7.201,1.720,1.080,0.640,225.460,0.230,1.290,1.810,0.530,214.860,209.900,0.210,1.950,0.090,2.560,0.640,0.330,0.090,218.770,18.702,1.070,0.310,1.771,0.480,0.110,5.771,0.530,0.220,1.900,5.741,8.825,43.332,20.121
07246f8450024d86a03c219dba819436,198.120,2.250,0.100,2.050,0.100,3.040,0.480,0.470,1.630,4.840,0.220,179.620,177.000,0.150,2.310,0.160,4.380,0.860,0.680,0.180,90.847,3.961,0.440,3.251,0.270,4.700,1.050,0.830,3.290,7.531,0.720,59.374,52.354,0.320,6.320,0.380,7.271,1.620,1.040,0.580,239.350,0.300,1.880,2.530,0.520,227.050,210.110,0.200,2.040,0.130,14.400,0.870,0.560,0.070,230.590,19.041,1.070,0.320,1.650,0.500,0.110,5.560,0.540,0.250,1.830,6.450,14.465,44.386,20.166
0853423a4d3de4cc178f27f4a504f180,193.540,2.320,0.110,2.110,0.100,2.880,0.450,0.410,1.640,4.880,0.290,175.100,172.340,0.190,2.390,0.180,4.330,0.890,0.670,0.220,89.127,4.101,0.410,3.351,0.340,4.710,1.010,1.000,3.240,7.441,0.730,57.574,50.273,0.300,6.591,0.410,7.140,1.681,1.081,0.600,220.350,0.240,1.220,1.850,0.580,210.860,205.730,0.220,2.070,0.110,2.620,0.630,0.280,0.090,213.950,18.461,1.060,0.320,1.730,0.500,0.100,5.620,0.580,0.230,1.800,5.840,8.660,42.986,19.556
085a9165e09cd6290765deb07466474f,227.350,2.370,0.130,2.140,0.100,2.810,0.520,0.460,1.640,4.810,0.200,208.960,206.240,0.130,2.410,0.180,4.330,0.900,0.670,0.230,90.736,3.900,0.420,3.230,0.250,4.680,1.050,0.940,3.191,7.550,0.780,59.494,52.464,0.320,6.320,0.390,7.001,1.700,1.080,0.620,254.550,0.230,1.320,1.790,0.390,244.400,239.280,0.200,2.100,0.100,2.600,0.640,0.340,0.090,247.900,18.762,1.060,0.340,1.610,0.480,0.100,5.771,0.780,0.240,1.730,6.081,8.525,59.112,20.366
0883e42f8f3769a021394ec73351a98e,199.070,2.270,0.120,2.060,0.090,3.020,0.510,0.430,1.540,4.730,0.240,180.840,178.250,0.140,2.320,0.130,4.230,0.930,0.720,0.210,95.087,3.760,0.400,3.080,0.280,4.720,1.031,0.880,3.290,7.550,0.730,63.785,56.664,0.310,6.401,0.410,7.160,1.631,1.060,0.571,226.510,0.210,1.260,1.730,0.350,216.430,211.460,0.200,1.970,0.120,2.570,0.660,0.310,0.090,219.180,24.122,1.090,0.320,8.691,0.440,0.100,12.091,0.590,0.230,1.710,6.110,8.680,42.877,19.831
089ef1b8c74ebea04dbeafd0a438730f,196.480,2.480,0.130,2.230,0.120,2.840,0.480,0.500,1.660,4.840,0.210,177.880,175.190,0.170,2.350,0.170,4.380,0.880,0.670,0.210,90.716,4.090,0.440,3.380,0.270,4.741,1.060,0.880,3.290,7.441,0.740,59.154,51.683,0.310,6.761,0.400,7.130,1.660,1.070,0.590,224.600,0.230,1.400,1.730,0.560,214.370,209.250,0.200,2.060,0.110,2.640,0.590,0.310,0.080,218.190,19.081,1.070,0.310,1.830,0.470,0.110,5.850,0.550,0.260,1.800,5.991,8.945,43.582,20.037
