c	payload	目标qps	实际qps	达成率	链路占用	p50	p99	请求数	采样数	失败
1	1K	1000	999.47	100%	1%	291.3µs	0.46ms	9995	2998	0
1	4K	1000	997.88	100%	3%	357.8µs	0.53ms	9980	2930	0
1	8K	1000	997.17	100%	7%	501.5µs	0.71ms	9973	2949	0
1	16K	1000	994.87	99%	13%	650.9µs	0.89ms	9949	2926	0
1	64K	1000	603.66	60%	32%	1.618ms	2.57ms	6037	2446	0
16	1K	16000	15920.66	100%	13%	447.9µs	1.21ms	159222	3186	0
16	4K	16000	15754.90	98%	52%	558.0µs	1.94ms	157565	3217	0
16	8K	16000	13265.65	83%	87%	1.157ms	2.61ms	132682	3281	0
16	16K	16000	6919.95	43%	91%	2.260ms	3.82ms	69215	3459	0
16	64K	16000	1496.61	9%	78%	10.214ms	18.88ms	14981	3012	0
